Priority,Status,Vacancy,Team ,Subteam ,Reason,Level,Published,Closed,Closed Month ,Time to fill,1st contact,Time to hire,Closing year,Job boards,Location,Staff/Non-staff,Info From
HIGH,Hired,AI Creative Designer,Marketing,Creative,Extension,Middle,23.03.2026,11.05.2026,5,50,20.04.2026,16,2026,Employee,Ukrainka,non-staff,
MEDIUM,Hired,AI Creative Designer,Brand Design,Brand,Extension,Middle,26.04.2026,06.05.2026,5,11,14.04.2026,17,2026,Recommendation,USA,staff,
MEDIUM,Hired,Junior Creative Marketing Specialist,Marketing,Creative Marketing,Extension,Junior ,19.03.2026,04.05.2026,5,47,17.04.2026,12,2026, Linkedin ,Kyiv,non-staff,
MEDIUM,Hired,Junior Creative Marketing Specialist,Marketing,Creative Marketing,Extension,Junior ,19.03.2026,08.05.2026,5,51,08.04.2026,23,2026,Djinni ,Lviv,non-staff,
HIGH,Hired,Junior Digital Marketing Specialist,Marketing,User Acquisition,Extension,Junior ,03.02.2026,28.05.2026,5,115,18.05.2026,9,2026,Work,Lviv,non-staff,
MEDIUM,Hired,Calisthenics Expert (female),Content,non-existent,Consultation,Expert,23.03.2026,15.05.2026,5,54,14.04.2026,24,2026, Linkedin ,USA,Expert,
MEDIUM,Hired,Brand Designer,Brand Design,Brand,Extension,Middle,30.04.2026,04.05.2026,5,4,01.04.2026,33,2026, Linkedin ,Berlin,staff,
LIGHT,Hired,Brand Designer,Brand Design,Brand,Extension,Middle,04.05.2026,18.05.2026,5,15,27.04.2026,16,2026,Djinni ,Kyiv,staff,
MEDIUM,Hired,Content  Production Specialist,Content,non-existent,Consultation,Expert,16.03.2026,18.05.2026,5,64,22.04.2026,19,2026, Linkedin ,USA,Expert,
MEDIUM,Hired,Motion Design Internship,Marketing,Creative,Extension,Junior ,17.03.2026,04.05.2026,5,49,08.04.2026,19,2026,motionintern ,Kyiv,non-staff,
MEDIUM,Hired,Motion Design Internship,Marketing,Creative,Extension,Junior ,17.03.2026,04.05.2026,5,49,14.04.2026,15,2026,motionintern ,Poland,non-staff,
MEDIUM,Hired,Motion Design Internship,Marketing,Creative,Extension,Junior ,17.03.2026,05.05.2026,5,50,07.04.2026,21,2026,Dou ,Dnipro,non-staff,
MEDIUM,Hired,Motion Design Internship,Marketing,Creative,Extension,Junior ,17.03.2026,05.05.2026,5,50,08.04.2026,20,2026,Career Portal,Lviv,non-staff,
MEDIUM,Hired,Motion Design Internship,Marketing,Creative,Extension,Junior ,17.03.2026,06.05.2026,5,51,07.04.2026,22,2026,Dou ,Kremenchuk,non-staff,
MEDIUM,Hired,Motion Design Internship,Marketing,Creative,Extension,Junior ,17.03.2026,13.05.2026,5,58,24.04.2026,14,2026,LinkedIn Application,Ivano-Frankivsk,non-staff,
MEDIUM,Hired,Motion Design Internship,Marketing,Creative,Extension,Junior ,17.03.2026,18.05.2026,5,63,16.04.2026,23,2026,Email,Ivano-Frankivsk,non-staff,
